NAME,NOTE,UNIT,TIME,DATA,CV,DIST,P1,P2,P3
DRP,原矿产量,kt,Y2000,20,0.1,unif,16.53589838,23.46410162,
PRP,原矿元素含量,1,all,0.5,0.1,triangle,0.377525513,0.622474487,0.5
PRR,矿石产率,1,all,0.8,0.2,beta,4.2,1.05,0
DFP,化肥产量,kt,Y2000,15,0.1,unif,12.40192379,17.59807621,
PFP,化肥元素含量,1,all,0.4,0.2,triangle,0.204040821,0.595959179,0.4
DCP,日化产量,kt,Y2000,5,0.1,unif,4.133974596,5.866025404,
PCP,日化元素含量,1,all,0.3,0.3,triangle,0.079545923,0.520454077,0.3
PCR,化工废物回用率,1,all,0.5,0.2,beta,12,12,0
DMP,作物产量,kt,Y2000,1000,0.1,unif,826.7949192,1173.205081,
PMP,作物元素含量,1,all,0.005,0.2,triangle,0.00255051,0.00744949,0.005
PHR,饲料占比,1,all,0.4,0,none,0.4,,
PNR,食品占比,1,all,0.45,0,none,0.45,,
DAP,动物产量,kt,Y2000,800,0.1,unif,661.4359354,938.5640646,
PAP,动物元素含量,1,all,0.002,0.2,triangle,0.001020204,0.002979796,0.002
PAR,肉产率,1,all,0.75,0.2,beta,5.5,1.833333333,0
DRP,原矿产量,kt,Y2005,40,0.1,unif,33.07179677,46.92820323,
DFP,化肥产量,kt,Y2005,30,0.1,unif,24.80384758,35.19615242,
DCP,日化产量,kt,Y2005,10,0.1,unif,8.267949192,11.73205081,
DMP,作物产量,kt,Y2005,2000,0.1,unif,1653.589838,2346.410162,
DAP,动物产量,kt,Y2005,1600,0.1,unif,1322.871871,1877.128129,
